"Series","mu","sigma","theta_1","theta_2","theta_3"
"X1",0.00206033611568091,0.00071277485773877,-1.66913812984796,3.35975781228605,-43.596305478082
"X2",0.00185006007851906,0.00145850705519458,-1.0758081956984,0.647586178769148,-24.402990284826
